;id;date;homeContestantId;awayContestantId;homeContestantOfficialName;awayContestantOfficialName;homeContestantCode;awayContestantCode;card_events;venue;goal_events
204;3nu7al4tkiccshanca3rv613o;2023-02-26Z;3t0vjqtxc8wpjzv82i3oi2ova;b79uipsy57y1jqpy07h4i5ovk;FC Emmen;Go Ahead Eagles;EMM;GAE;[['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 71, 'P. Rommens', 'YC'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 2, 71, 'M. Araujo', 'YC'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 2, 78, 'K. Veendorp', 'YC'], ['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 79, 'B. Adekanye', 'YC'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 2, 79, 'R. Živković', 'YC'], ['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 97, 'J. Idzes', 'YC']];De Oude Meerdijk;[['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 1, 9, 'J. Idzes'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 1, 40, 'J. Veldmate'], ['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 61, 'B. Adekanye'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 2, 90, 'O. Romeny']]
205;3ombygfdypwnkvzzt2dmzirdg;2023-02-26Z;6hsriqr3ybvyg94w2k19oal50;d0zdg647gvgc95xdtk1vpbkys;SBV Vitesse;AFC Ajax;VIT;AJA;[['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 52, 'E. Álvarez', 'YC'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 75, 'O. Wijndal', 'YC']];GelreDome;[['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 30, 'M. van Ginkel'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 32, 'D. Klaassen'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 54, 'E. Álvarez']]
206;3oa1bftb8v6xcimfd35w5jrbo;2023-02-26Z;24fvcruwqrqvqa3aonf8c3zuy;4tic29sox7m39fy1ztgv0jsiq;PSV Eindhoven;FC Twente;PSV;TWE;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 55, 'R. Zerrouki', 'YC'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 90, 'I. Sangaré', 'YC']];Philips Stadion;[['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 1, 9, 'Fábio Silva'], ['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 47, 'V. Misidjan'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 57, 'L. de Jong'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 74, 'X. Simons']]
207;3p20o4g9vt1xm8j3drr63sxzo;2023-03-03Z;ccpscwdcm65czscrun048ecn5;3ebril33e08ddzob4bhq8awsr;FC Utrecht;Fortuna Sittard;UTR;FOR;[['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 77, 'K. Bistrović', 'YC'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 85, 'J. Toornstra', 'YC'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 96, 'S. van de Streek', 'YC']];Stadion Galgenwaard;[['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 59, 'T. Douvikas'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 68, 'K. Bistrović'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 87, 'T. Noslin']]
208;3pmmujddlbsxi37jugjoyktuc;2023-03-03Z;6hsriqr3ybvyg94w2k19oal50;3kfktv64h7kg7zryax1wktr5r;SBV Vitesse;Alkmaar Zaanstreek;VIT;AZ;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 73, 'Y. Sugawara', 'YC']];GelreDome;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 1, 29, 'J. Karlsson']]
209;3p5tfxwnwgk18a5hzfya9ruvo;2023-03-04Z;6g9qrm72224jrk6tkxxxi8a9n;3t0vjqtxc8wpjzv82i3oi2ova;FC Volendam;FC Emmen;VOL;EMM;[['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 2, 73, 'J. Vlak', 'YC']];Kras Stadion;[['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 46, 'F. Stanković'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 67, 'B. Benamar'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 88, 'B. Ould-Chikh'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 92, 'D. van Mieghem']]
210;3pbfhypu7sn4cwit12meocetw;2023-03-04Z;20vymiy7bo8wkyxai3ew494fz;cos9hxi16eitbcbthof7zrm4m;Feyenoord Rotterdam;FC Groningen;FEY;GRO;[['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 10, 'M. Pedersen', 'YC'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 1, 47, 'I. Määttä', 'YC'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 2, 52, 'I. Määttä', 'Y2C'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 2, 67, 'D. Dankerlui', 'YC'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 2, 74, 'L. van Gelderen', 'YC']];Stadion Feijenoord;[['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 88, 'O. Idrissi']]
211;3oy31boy3sig1b5fh9o0cwz6c;2023-03-04Z;4tic29sox7m39fy1ztgv0jsiq;4vd2t5schmvvufrfib7f2vjdf;FC Twente;SC Heerenveen;TWE;HEE;[['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 1, 29, 'C. Nunnely', 'YC'], ['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 65, 'A. Colassin', 'YC'], ['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 91, 'J. van Aken', 'YC']];De Grolsch Veste;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 1, 25, 'M. Hilgers'], ['Twente', '4tic29sox7m39fy1ztgv0jsiq', 1, 34, 'R. Pröpper'], ['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 48, 'M. Ugalde'], ['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 55, 'V. Černý'], ['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 59, 'M. van Ewijk'], ['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 2, 90, 'R. Kaib']]
212;3ou8elq2p6383n7b8jenj0nis;2023-03-05Z;dqk062lu0vm8epvytbm6r4mmf;89w5c6pw7vn0dxypi61tt0g4k;SBV Excelsior;Sparta Rotterdam;EXC;SPA;[];Van Donge & De Roo Stadion;[['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 20, 'R. El Yaakoubi'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 45, 'C. Driouech'], ['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 49, 'K. Saito'], ['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 56, 'T. Lauritsen'], ['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 60, 'B. Vriends']]
213;3pf9zy7csf8zwat7rix8cn8d0;2023-03-05Z;ed5nwjz5za3oyi20nxzgqivmx;24fvcruwqrqvqa3aonf8c3zuy;RKC Waalwijk;PSV Eindhoven;RKC;PSV;[];Mandemakers Stadion;[['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 1, 35, 'J. Bakayoko']]
214;3oq6iggjm5jj15z1ngsfmdgd0;2023-03-05Z;d0zdg647gvgc95xdtk1vpbkys;8iawijq7s9s6d85mjz8wdslki;AFC Ajax;Nijmegen Eendracht Combinatie;AJA;N.E.C.;[['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 1, 13, 'M. Kudus', 'YC'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 1, 46, 'B. van Rooij', 'YC'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 72, 'A. Baldursson', 'YC'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 95, 'O. Tannane', 'YC']];Johan Cruijff Arena;[['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 52, 'M. Kudus']]
215;3pj07q8vooevxcwxbb9jd9zpw;2023-03-05Z;ears40cp6opsgvhsy0dgyszpd;b79uipsy57y1jqpy07h4i5ovk;SC Cambuur Leeuwarden;Go Ahead Eagles;CAM;GAE;[['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 17, 'D. Schmidt', 'YC'], ['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 1, 26, 'I. Lidberg', 'YC']];Cambuur Stadion;[['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 13, 'M. Breij'], ['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 1, 25, 'M. Deijl'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 1, 43, 'M. Mahi'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 57, 'B. Johnsen'], ['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 74, 'N. Foor']]
