,id,date,homeContestantId,awayContestantId,homeContestantOfficialName,awayContestantOfficialName,homeContestantCode,awayContestantCode
579,2u0jqn57c3z9r2i9n5ejf2vbo,2022-04-30Z,89w5c6pw7vn0dxypi61tt0g4k,3kfktv64h7kg7zryax1wktr5r,Sparta Rotterdam,Alkmaar Zaanstreek,SPA,AZ
580,2tu4o5bfc6806suas0rkitfkk,2022-05-01Z,4vd2t5schmvvufrfib7f2vjdf,ears40cp6opsgvhsy0dgyszpd,SC Heerenveen,SC Cambuur Leeuwarden,HEE,CAM
581,2tdxdugctsa0l795np4hgwr9w,2022-05-01Z,b79uipsy57y1jqpy07h4i5ovk,6hsriqr3ybvyg94w2k19oal50,Go Ahead Eagles,SBV Vitesse,GAE,VIT
582,2tm4jvsxxq27h8yi9g5a90jys,2022-05-01Z,24fvcruwqrqvqa3aonf8c3zuy,bk5ltsueqmeng29eovd8m2tml,PSV Eindhoven,Willem II,PSV,WIL
583,2t9vbudpd3y0c49bxi99mcsno,2022-05-01Z,3ebril33e08ddzob4bhq8awsr,20vymiy7bo8wkyxai3ew494fz,Fortuna Sittard,Feyenoord Rotterdam,FOR,FEY
584,2tq86nqqnoqytwzsmfxtg8vmc,2022-05-01Z,ed5nwjz5za3oyi20nxzgqivmx,cos9hxi16eitbcbthof7zrm4m,RKC Waalwijk,FC Groningen,RKC,GRO
585,2urebpwe4t69xbp241drk5dzo,2022-05-06Z,ears40cp6opsgvhsy0dgyszpd,ed5nwjz5za3oyi20nxzgqivmx,SC Cambuur Leeuwarden,RKC Waalwijk,CAM,RKC
586,2uctltzl75i3ttf135auyvbis,2022-05-07Z,4tic29sox7m39fy1ztgv0jsiq,3ebril33e08ddzob4bhq8awsr,FC Twente,Fortuna Sittard,TWE,FOR
587,2unhjs5kvqklele273wo3dpn8,2022-05-07Z,2uuh2bir8ktof0uxfo06lb4ox,ccpscwdcm65czscrun048ecn5,PEC Zwolle,FC Utrecht,PEC,UTR
588,2uzj5cvb1bwx5g9eledf79250,2022-05-07Z,bk5ltsueqmeng29eovd8m2tml,dac758ef858jbq7pcb3gfwite,Willem II,Heracles Almelo,WIL,HER
589,2u911djdcayctes7spvdoo3ys,2022-05-07Z,cos9hxi16eitbcbthof7zrm4m,89w5c6pw7vn0dxypi61tt0g4k,FC Groningen,Sparta Rotterdam,GRO,SPA
590,2ujwkb2jrm1ifxiubjn6ibtw4,2022-05-08Z,8iawijq7s9s6d85mjz8wdslki,b79uipsy57y1jqpy07h4i5ovk,Nijmegen Eendracht Combinatie,Go Ahead Eagles,N.E.C.,GAE
591,2u4li9lwjqf51tizk0ei83a50,2022-05-08Z,3kfktv64h7kg7zryax1wktr5r,d0zdg647gvgc95xdtk1vpbkys,Alkmaar Zaanstreek,AFC Ajax,AZ,AJA
592,2uvd6ciwuv2gme7onedaojlzo,2022-05-08Z,6hsriqr3ybvyg94w2k19oal50,4vd2t5schmvvufrfib7f2vjdf,SBV Vitesse,SC Heerenveen,VIT,HEE
593,2ug6pboy0ksygnteptpahi2hg,2022-05-08Z,20vymiy7bo8wkyxai3ew494fz,24fvcruwqrqvqa3aonf8c3zuy,Feyenoord Rotterdam,PSV Eindhoven,FEY,PSV
594,2v3m87gkzr8n13zc0nj7f1afo,2022-05-11Z,d0zdg647gvgc95xdtk1vpbkys,4vd2t5schmvvufrfib7f2vjdf,AFC Ajax,SC Heerenveen,AJA,HEE
595,2v816qcwk3h4w6ydbx5gw3zf8,2022-05-11Z,ears40cp6opsgvhsy0dgyszpd,bk5ltsueqmeng29eovd8m2tml,SC Cambuur Leeuwarden,Willem II,CAM,WIL
596,2vcy4ndn0t9xziqf9nytb8zro,2022-05-11Z,3ebril33e08ddzob4bhq8awsr,6hsriqr3ybvyg94w2k19oal50,Fortuna Sittard,SBV Vitesse,FOR,VIT
597,2vh93waa581ietqma9jj59uz8,2022-05-11Z,b79uipsy57y1jqpy07h4i5ovk,20vymiy7bo8wkyxai3ew494fz,Go Ahead Eagles,Feyenoord Rotterdam,GAE,FEY
598,2vl42jjx9rqvc8o0nan5wyfbo,2022-05-11Z,24fvcruwqrqvqa3aonf8c3zuy,8iawijq7s9s6d85mjz8wdslki,PSV Eindhoven,Nijmegen Eendracht Combinatie,PSV,N.E.C.
599,2vp7ndpxrf8ui61i0765scetw,2022-05-11Z,ed5nwjz5za3oyi20nxzgqivmx,dac758ef858jbq7pcb3gfwite,RKC Waalwijk,Heracles Almelo,RKC,HER
600,2vsz80cppuisvovfh7hqqp7v8,2022-05-11Z,89w5c6pw7vn0dxypi61tt0g4k,2uuh2bir8ktof0uxfo06lb4ox,Sparta Rotterdam,PEC Zwolle,SPA,PEC
601,2vws6pj38g4u6nq29h6v60q38,2022-05-11Z,4tic29sox7m39fy1ztgv0jsiq,cos9hxi16eitbcbthof7zrm4m,FC Twente,FC Groningen,TWE,GRO
602,2w0f71zo4gtthfy30302ny3o4,2022-05-11Z,ccpscwdcm65czscrun048ecn5,3kfktv64h7kg7zryax1wktr5r,FC Utrecht,Alkmaar Zaanstreek,UTR,AZ
603,2w6egt3uj34rm1wk51e8u7y1g,2022-05-15Z,3kfktv64h7kg7zryax1wktr5r,ed5nwjz5za3oyi20nxzgqivmx,Alkmaar Zaanstreek,RKC Waalwijk,AZ,RKC
604,2wa9w3q95mq6w8e1sz6056bro,2022-05-15Z,20vymiy7bo8wkyxai3ew494fz,4tic29sox7m39fy1ztgv0jsiq,Feyenoord Rotterdam,FC Twente,FEY,TWE
605,2webomu6ybfics2gim45oja50,2022-05-15Z,cos9hxi16eitbcbthof7zrm4m,ears40cp6opsgvhsy0dgyszpd,FC Groningen,SC Cambuur Leeuwarden,GRO,CAM
606,2wi9nelqny2t2gqzu3kbln7dg,2022-05-15Z,dac758ef858jbq7pcb3gfwite,89w5c6pw7vn0dxypi61tt0g4k,Heracles Almelo,Sparta Rotterdam,HER,SPA
607,2wlwlcv2rn5fcapn3b3q9izo4,2022-05-15Z,4vd2t5schmvvufrfib7f2vjdf,b79uipsy57y1jqpy07h4i5ovk,SC Heerenveen,Go Ahead Eagles,HEE,GAE
608,2xf7c609874c4ck5jbblmtkb8,2022-05-15Z,8iawijq7s9s6d85mjz8wdslki,3ebril33e08ddzob4bhq8awsr,Nijmegen Eendracht Combinatie,Fortuna Sittard,N.E.C.,FOR
609,2xj5crhn5vhy6vmys0stkqi38,2022-05-15Z,2uuh2bir8ktof0uxfo06lb4ox,24fvcruwqrqvqa3aonf8c3zuy,PEC Zwolle,PSV Eindhoven,PEC,PSV
610,2xmrf96njjq659ylob5pqzllg,2022-05-15Z,6hsriqr3ybvyg94w2k19oal50,d0zdg647gvgc95xdtk1vpbkys,SBV Vitesse,AFC Ajax,VIT,AJA
611,2xqash9w91r06g9kk4ayfs00k,2022-05-15Z,bk5ltsueqmeng29eovd8m2tml,ccpscwdcm65czscrun048ecn5,Willem II,FC Utrecht,WIL,UTR
612,6sgx8nv418nxfwxeiazp003kk,2022-05-19Z,4vd2t5schmvvufrfib7f2vjdf,3kfktv64h7kg7zryax1wktr5r,SC Heerenveen,Alkmaar Zaanstreek,HEE,AZ
613,6sovid8mlgvpu5tis9bit1hxw,2022-05-19Z,ccpscwdcm65czscrun048ecn5,6hsriqr3ybvyg94w2k19oal50,FC Utrecht,SBV Vitesse,UTR,VIT
614,6sldy85pkuneadzfs49t1fggk,2022-05-22Z,3kfktv64h7kg7zryax1wktr5r,4vd2t5schmvvufrfib7f2vjdf,Alkmaar Zaanstreek,SC Heerenveen,AZ,HEE
615,6ss5f860if4cl99thhywic1sk,2022-05-22Z,6hsriqr3ybvyg94w2k19oal50,ccpscwdcm65czscrun048ecn5,SBV Vitesse,FC Utrecht,VIT,UTR
616,6sh21ykk82ulpa3zyjhn1vqqc,2022-05-26Z,6hsriqr3ybvyg94w2k19oal50,3kfktv64h7kg7zryax1wktr5r,SBV Vitesse,Alkmaar Zaanstreek,VIT,AZ
617,8sccx05502wf9nlwrqscnoefo,2022-05-29Z,3kfktv64h7kg7zryax1wktr5r,6hsriqr3ybvyg94w2k19oal50,Alkmaar Zaanstreek,SBV Vitesse,AZ,VIT
618,cbszrvluzpie0mo88fjzb1tgq,2020-09-12Z,4vd2t5schmvvufrfib7f2vjdf,bk5ltsueqmeng29eovd8m2tml,SC Heerenveen,Willem II,HEE,WIL
619,cbz0ni283fq7ynm7zowki3fca,2020-09-12Z,2uuh2bir8ktof0uxfo06lb4ox,20vymiy7bo8wkyxai3ew494fz,PEC Zwolle,Feyenoord Rotterdam,PEC,FEY
620,cc551ukekh699pm5c2o19sh2i,2020-09-12Z,4tic29sox7m39fy1ztgv0jsiq,3ebril33e08ddzob4bhq8awsr,FC Twente,Fortuna Sittard,TWE,FOR
621,ccb7rq9zneky53zx2czootdnu,2020-09-13Z,3t0vjqtxc8wpjzv82i3oi2ova,cv5ftekuejf0ryxvd5h2my47r,FC Emmen,VVV Venlo,EMM,VVV
622,cchgjl2n67cs593lvkxnokmei,2020-09-13Z,dac758ef858jbq7pcb3gfwite,e8hiwrw6ocxm5iht6sp7jiv19,Heracles Almelo,HFC ADO Den Haag,HER,ADO
623,ccnh8l6zy9zv5wl4kzn8wo2ga,2020-09-13Z,89w5c6pw7vn0dxypi61tt0g4k,d0zdg647gvgc95xdtk1vpbkys,Sparta Rotterdam,AFC Ajax,SPA,AJA
624,cct8pkkrj5wre1w3bpf8e3g4q,2020-09-13Z,cos9hxi16eitbcbthof7zrm4m,24fvcruwqrqvqa3aonf8c3zuy,FC Groningen,PSV Eindhoven,GRO,PSV
625,ccz4d21plodmr7q5y4ijz36ga,2020-09-13Z,ed5nwjz5za3oyi20nxzgqivmx,6hsriqr3ybvyg94w2k19oal50,RKC Waalwijk,SBV Vitesse,RKC,VIT
626,cd3y5xwfdfxlnufcpx4xzmd0q,2020-09-18Z,cv5ftekuejf0ryxvd5h2my47r,ccpscwdcm65czscrun048ecn5,VVV Venlo,FC Utrecht,VVV,UTR
627,cdacc3dd64zutdyf2owks4fai,2020-09-19Z,3kfktv64h7kg7zryax1wktr5r,2uuh2bir8ktof0uxfo06lb4ox,Alkmaar Zaanstreek,PEC Zwolle,AZ,PEC
628,cdf7lmdd38lj7755i74jhatt6,2020-09-19Z,6hsriqr3ybvyg94w2k19oal50,89w5c6pw7vn0dxypi61tt0g4k,SBV Vitesse,Sparta Rotterdam,VIT,SPA
629,ce7vxcd98z5s4vq81pyymc1uy,2020-09-19Z,24fvcruwqrqvqa3aonf8c3zuy,3t0vjqtxc8wpjzv82i3oi2ova,PSV Eindhoven,FC Emmen,PSV,EMM
630,cdoui3udqb7ntfubl2y81lca2,2020-09-19Z,3ebril33e08ddzob4bhq8awsr,4vd2t5schmvvufrfib7f2vjdf,Fortuna Sittard,SC Heerenveen,FOR,HEE
631,cdttto1v0aov867nolgc96zje,2020-09-20Z,e8hiwrw6ocxm5iht6sp7jiv19,cos9hxi16eitbcbthof7zrm4m,HFC ADO Den Haag,FC Groningen,ADO,GRO
632,cdyip0fbhgp8nfrn4s3c18iui,2020-09-20Z,20vymiy7bo8wkyxai3ew494fz,4tic29sox7m39fy1ztgv0jsiq,Feyenoord Rotterdam,FC Twente,FEY,TWE
633,ce38l1k08ff6qdglwh9on1ai2,2020-09-20Z,bk5ltsueqmeng29eovd8m2tml,dac758ef858jbq7pcb3gfwite,Willem II,Heracles Almelo,WIL,HER
634,cdk1i7d7isfsyiyhf4brrvr6y,2020-09-20Z,d0zdg647gvgc95xdtk1vpbkys,ed5nwjz5za3oyi20nxzgqivmx,AFC Ajax,RKC Waalwijk,AJA,RKC
635,ceclk8hdts0qeccwvmvcjztd6,2020-09-25Z,4tic29sox7m39fy1ztgv0jsiq,cos9hxi16eitbcbthof7zrm4m,FC Twente,FC Groningen,TWE,GRO
636,ceh4oo4r7mibntu5v3au76fe2,2020-09-26Z,2uuh2bir8ktof0uxfo06lb4ox,89w5c6pw7vn0dxypi61tt0g4k,PEC Zwolle,Sparta Rotterdam,PEC,SPA
637,celxnmgx5csrqka63fips5pwq,2020-09-26Z,3ebril33e08ddzob4bhq8awsr,3kfktv64h7kg7zryax1wktr5r,Fortuna Sittard,Alkmaar Zaanstreek,FOR,AZ
638,ceqmw3vtbhpl7xkgw4bwr66p6,2020-09-26Z,4vd2t5schmvvufrfib7f2vjdf,cv5ftekuejf0ryxvd5h2my47r,SC Heerenveen,VVV Venlo,HEE,VVV
639,cev1obr8h4bwktptqsr926tt6,2020-09-26Z,d0zdg647gvgc95xdtk1vpbkys,6hsriqr3ybvyg94w2k19oal50,AFC Ajax,SBV Vitesse,AJA,VIT
640,cezqq5k15u1q12ayimjedxch6,2020-09-27Z,20vymiy7bo8wkyxai3ew494fz,e8hiwrw6ocxm5iht6sp7jiv19,Feyenoord Rotterdam,HFC ADO Den Haag,FEY,ADO
